tStep	n= 1 l= 0   	n= 2 l= 0   	n= 2 l= 1   	n= 3 l= 0   	n= 3 l= 1   	n= 3 l= 2   	n= 4 l= 0   	n= 4 l= 1   	n= 4 l= 2   	n= 4 l= 3   	n= 5 l= 0   	n= 5 l= 1   	n= 5 l= 2   	n= 5 l= 3   	n= 5 l= 4   	n= 6 l= 0   	n= 6 l= 1   	n= 6 l= 2   	n= 6 l= 3   	n= 6 l= 4   	n= 6 l= 5   	n= 1        	n= 2        	n= 3        	n= 4        	n= 5        	n= 6        	oInt        	bInt        	tInt 
00249	0.818903E+00	0.864719E-02	0.945286E-01	0.174115E-02	0.142217E-01	0.231145E-02	0.626242E-03	0.468241E-02	0.109930E-02	0.120323E-04	0.296502E-03	0.213556E-02	0.577793E-03	0.946727E-05	0.202836E-07	0.164251E-03	0.116049E-02	0.337153E-03	0.655445E-05	0.218561E-07	0.145513E-10	0.818903E+00	0.103176E+00	0.182743E-01	0.641998E-02	0.301934E-02	0.166847E-02	0.951461E+00	0.433865E-01	0.994848E+00 
00259	0.769155E+00	0.196022E-01	0.986153E-01	0.349506E-02	0.139868E-01	0.459797E-02	0.120084E-02	0.470701E-02	0.208480E-02	0.493014E-04	0.556541E-03	0.218823E-02	0.107181E-02	0.382204E-04	0.177034E-06	0.304748E-03	0.120435E-02	0.617992E-03	0.262399E-04	0.189929E-06	0.289509E-09	0.769155E+00	0.118217E+00	0.220798E-01	0.804195E-02	0.385497E-02	0.215352E-02	0.923502E+00	0.700251E-01	0.993527E+00 
00269	0.734299E+00	0.309130E-01	0.852323E-01	0.493437E-02	0.134548E-01	0.643223E-02	0.164173E-02	0.497315E-02	0.275285E-02	0.119986E-03	0.751281E-03	0.242116E-02	0.138057E-02	0.908000E-04	0.748625E-06	0.408840E-03	0.136612E-02	0.785906E-03	0.615243E-04	0.794926E-06	0.215868E-08	0.734299E+00	0.116145E+00	0.248214E-01	0.948772E-02	0.464456E-02	0.262319E-02	0.892021E+00	0.100096E+00	0.992117E+00 
00279	0.717509E+00	0.384466E-01	0.669380E-01	0.577499E-02	0.135181E-01	0.700070E-02	0.191433E-02	0.543720E-02	0.284646E-02	0.197199E-03	0.878018E-03	0.272731E-02	0.140013E-02	0.145373E-03	0.183227E-05	0.478928E-03	0.156002E-02	0.789842E-03	0.971263E-04	0.192093E-05	0.758644E-08	0.717509E+00	0.105385E+00	0.262938E-01	0.103952E-01	0.515266E-02	0.292785E-02	0.867663E+00	0.123190E+00	0.990854E+00 
00289	0.713916E+00	0.416323E-01	0.553190E-01	0.616879E-02	0.135587E-01	0.684633E-02	0.206482E-02	0.564249E-02	0.270274E-02	0.243447E-03	0.953648E-03	0.285532E-02	0.131726E-02	0.176383E-03	0.281976E-05	0.522450E-03	0.163867E-02	0.740455E-03	0.116761E-03	0.293034E-05	0.140183E-07	0.713916E+00	0.969513E-01	0.265738E-01	0.106535E-01	0.530544E-02	0.302128E-02	0.856421E+00	0.133721E+00	0.990142E+00 
00299	0.713159E+00	0.414284E-01	0.563454E-01	0.614149E-02	0.136425E-01	0.687022E-02	0.205399E-02	0.566696E-02	0.271835E-02	0.240281E-03	0.948140E-03	0.286650E-02	0.132582E-02	0.174307E-03	0.274252E-05	0.519266E-03	0.164486E-02	0.745469E-03	0.115465E-03	0.285189E-05	0.134664E-07	0.713159E+00	0.977738E-01	0.266542E-01	0.106796E-01	0.531750E-02	0.302792E-02	0.856612E+00	0.133557E+00	0.990169E+00 
00309	0.701057E+00	0.364084E-01	0.782200E-01	0.552071E-02	0.153606E-01	0.705577E-02	0.182759E-02	0.609426E-02	0.292652E-02	0.175064E-03	0.836918E-03	0.304214E-02	0.145129E-02	0.130141E-03	0.147148E-05	0.456004E-03	0.173626E-02	0.822026E-03	0.873438E-04	0.154917E-05	0.557061E-08	0.701057E+00	0.114628E+00	0.279371E-01	0.110234E-01	0.546196E-02	0.310319E-02	0.863211E+00	0.127429E+00	0.990641E+00 
00319	0.662836E+00	0.224614E-01	0.134767E+00	0.375082E-02	0.223164E-01	0.600555E-02	0.126662E-02	0.802709E-02	0.278164E-02	0.631612E-04	0.583387E-03	0.384305E-02	0.144588E-02	0.492033E-04	0.265012E-06	0.318549E-03	0.214742E-02	0.838976E-03	0.338673E-04	0.285399E-06	0.574888E-09	0.662836E+00	0.157228E+00	0.320727E-01	0.121385E-01	0.592179E-02	0.333909E-02	0.873537E+00	0.116953E+00	0.990489E+00 
00329	0.592282E+00	0.352719E-02	0.223552E+00	0.827344E-03	0.360097E-01	0.384830E-02	0.344599E-03	0.119087E-01	0.211421E-02	0.105232E-05	0.176620E-03	0.542087E-02	0.118430E-02	0.989308E-06	0.235360E-08	0.102382E-03	0.293928E-02	0.714801E-03	0.753474E-06	0.259966E-08	0.230286E-10	0.592282E+00	0.227079E+00	0.406853E-01	0.143686E-01	0.678278E-02	0.375722E-02	0.884955E+00	0.103940E+00	0.988895E+00 
00339	0.502688E+00	0.693461E-02	0.287292E+00	0.186771E-02	0.409510E-01	0.888625E-02	0.734666E-03	0.123224E-01	0.442548E-02	0.365180E-04	0.361796E-03	0.530333E-02	0.237320E-02	0.295143E-04	0.327894E-07	0.204646E-03	0.277878E-02	0.139957E-02	0.207339E-04	0.363760E-07	0.887531E-11	0.502688E+00	0.294227E+00	0.517050E-01	0.175191E-01	0.806787E-02	0.440377E-02	0.878610E+00	0.107214E+00	0.985824E+00 
