  1.207167E-01 -4.643346E-02  1.200585E-01 -4.616197E-02  1.194030E-01 -4.589155E-02  1.187502E-01 -4.562223E-02  1.181000E-01 -4.535399E-02
  1.174526E-01 -4.508683E-02  1.168078E-01 -4.482076E-02  1.161657E-01 -4.455577E-02  1.155263E-01 -4.429186E-02  1.148895E-01 -4.402903E-02
  1.142554E-01 -4.376728E-02  1.136240E-01 -4.350660E-02  1.129953E-01 -4.324700E-02  1.123692E-01 -4.298847E-02  1.117458E-01 -4.273101E-02
  1.111250E-01 -4.247463E-02  1.105069E-01 -4.221931E-02  1.098914E-01 -4.196507E-02  1.092785E-01 -4.171188E-02  1.086683E-01 -4.145977E-02
  1.080608E-01 -4.120871E-02  1.074558E-01 -4.095872E-02  1.068535E-01 -4.070978E-02  1.062538E-01 -4.046190E-02  1.056567E-01 -4.021508E-02
  1.050623E-01 -3.996931E-02  1.044704E-01 -3.972460E-02  1.038811E-01 -3.948093E-02  1.032945E-01 -3.923831E-02  1.027104E-01 -3.899674E-02
  1.021289E-01 -3.875621E-02  1.015500E-01 -3.851672E-02  1.009737E-01 -3.827828E-02  1.003999E-01 -3.804087E-02  9.982875E-02 -3.780450E-02
  9.926012E-02 -3.756916E-02  9.869406E-02 -3.733485E-02  9.813054E-02 -3.710157E-02  9.756957E-02 -3.686932E-02  9.701114E-02 -3.663809E-02
  9.645524E-02 -3.640789E-02  9.590188E-02 -3.617871E-02  9.535103E-02 -3.595054E-02  9.480271E-02 -3.572339E-02  9.425689E-02 -3.549726E-02
  9.371359E-02 -3.527213E-02  9.317278E-02 -3.504802E-02  9.263447E-02 -3.482491E-02  9.209864E-02 -3.460280E-02  9.156530E-02 -3.438170E-02
  9.103444E-02 -3.416159E-02  9.050604E-02 -3.394248E-02  8.998011E-02 -3.372437E-02  8.945664E-02 -3.350725E-02  8.893562E-02 -3.329111E-02
  8.841705E-02 -3.307596E-02  8.790091E-02 -3.286180E-02  8.738721E-02 -3.264862E-02  8.687593E-02 -3.243641E-02  8.636708E-02 -3.222518E-02
  8.586064E-02 -3.201493E-02  8.535660E-02 -3.180564E-02  8.485497E-02 -3.159733E-02  8.435573E-02 -3.138997E-02  8.385888E-02 -3.118359E-02
  8.336441E-02 -3.097816E-02  8.287231E-02 -3.077369E-02  8.238258E-02 -3.057017E-02  8.189521E-02 -3.036760E-02  8.141020E-02 -3.016599E-02
  8.092753E-02 -2.996532E-02  8.044720E-02 -2.976559E-02  7.996921E-02 -2.956681E-02  7.949355E-02 -2.936896E-02  7.902020E-02 -2.917205E-02
  7.854917E-02 -2.897607E-02  7.808044E-02 -2.878102E-02  7.761401E-02 -2.858689E-02  7.714988E-02 -2.839369E-02  7.668803E-02 -2.820141E-02
  7.622846E-02 -2.801005E-02  7.577116E-02 -2.781960E-02  7.531612E-02 -2.763007E-02  7.486334E-02 -2.744145E-02  7.441281E-02 -2.725373E-02
  7.396452E-02 -2.706691E-02  7.351847E-02 -2.688100E-02  7.307465E-02 -2.669598E-02  7.263305E-02 -2.651186E-02  7.219366E-02 -2.632863E-02
  7.175648E-02 -2.614629E-02  7.132150E-02 -2.596483E-02  7.088871E-02 -2.578426E-02  7.045811E-02 -2.560457E-02  7.002968E-02 -2.542575E-02
  6.960343E-02 -2.524781E-02  6.917934E-02 -2.507074E-02  6.875740E-02 -2.489454E-02  6.833761E-02 -2.471920E-02  6.791997E-02 -2.454473E-02
  6.750446E-02 -2.437111E-02  6.709108E-02 -2.419835E-02  6.667981E-02 -2.402644E-02  6.627066E-02 -2.385539E-02  6.586361E-02 -2.368518E-02
  6.545866E-02 -2.351581E-02  6.505580E-02 -2.334729E-02  6.465503E-02 -2.317960E-02  6.425632E-02 -2.301275E-02  6.385969E-02 -2.284673E-02
  6.346512E-02 -2.268154E-02  6.307260E-02 -2.251718E-02  6.268212E-02 -2.235364E-02  6.229369E-02 -2.219091E-02  6.190728E-02 -2.202901E-02
  6.152290E-02 -2.186792E-02  6.114054E-02 -2.170764E-02  6.076018E-02 -2.154817E-02  6.038183E-02 -2.138950E-02  6.000547E-02 -2.123164E-02
  5.963109E-02 -2.107457E-02  5.925870E-02 -2.091830E-02  5.888828E-02 -2.076282E-02  5.851982E-02 -2.060813E-02  5.815332E-02 -2.045423E-02
  5.778877E-02 -2.030111E-02  5.742616E-02 -2.014877E-02  5.706548E-02 -1.999721E-02  5.670673E-02 -1.984643E-02  5.634991E-02 -1.969641E-02
  5.599499E-02 -1.954717E-02  5.564198E-02 -1.939869E-02  5.529087E-02 -1.925097E-02  5.494165E-02 -1.910401E-02  5.459431E-02 -1.895781E-02
  5.424885E-02 -1.881236E-02  5.390526E-02 -1.866766E-02  5.356352E-02 -1.852371E-02  5.322364E-02 -1.838050E-02  5.288561E-02 -1.823803E-02
  5.254942E-02 -1.809630E-02  5.221506E-02 -1.795531E-02  5.188252E-02 -1.781505E-02  5.155180E-02 -1.767552E-02  5.122289E-02 -1.753671E-02
  5.089578E-02 -1.739863E-02  5.057047E-02 -1.726127E-02  5.024694E-02 -1.712463E-02  4.992520E-02 -1.698870E-02  4.960523E-02 -1.685348E-02
  4.928702E-02 -1.671897E-02  4.897057E-02 -1.658517E-02  4.865588E-02 -1.645206E-02  4.834293E-02 -1.631966E-02  4.803172E-02 -1.618796E-02
  4.772223E-02 -1.605694E-02  4.741447E-02 -1.592662E-02  4.710843E-02 -1.579699E-02  4.680409E-02 -1.566804E-02  4.650146E-02 -1.553977E-02
  4.620051E-02 -1.541218E-02  4.590126E-02 -1.528527E-02  4.560369E-02 -1.515903E-02  4.530779E-02 -1.503346E-02  4.501355E-02 -1.490856E-02
  4.472097E-02 -1.478432E-02  4.443005E-02 -1.466075E-02  4.414076E-02 -1.453783E-02  4.385312E-02 -1.441557E-02  4.356711E-02 -1.429396E-02
  4.328272E-02 -1.417300E-02  4.299994E-02 -1.405269E-02  4.271878E-02 -1.393302E-02  4.243922E-02 -1.381399E-02  4.216125E-02 -1.369561E-02
  4.188487E-02 -1.357785E-02  4.161007E-02 -1.346073E-02  4.133685E-02 -1.334424E-02  4.106519E-02 -1.322838E-02  4.079510E-02 -1.311314E-02
  4.052656E-02 -1.299853E-02  4.025957E-02 -1.288453E-02  3.999411E-02 -1.277115E-02  3.973019E-02 -1.265838E-02  3.946780E-02 -1.254622E-02
  3.920692E-02 -1.243467E-02  3.894756E-02 -1.232372E-02  3.868971E-02 -1.221338E-02  3.843335E-02 -1.210363E-02  3.817849E-02 -1.199448E-02
  3.792511E-02 -1.188593E-02  3.767321E-02 -1.177796E-02  3.742279E-02 -1.167059E-02  3.717383E-02 -1.156380E-02  3.692633E-02 -1.145759E-02
  3.668028E-02 -1.135196E-02  3.643568E-02 -1.124691E-02  3.619251E-02 -1.114243E-02  3.595078E-02 -1.103853E-02  3.571048E-02 -1.093519E-02
  3.547159E-02 -1.083243E-02  3.523412E-02 -1.073022E-02  3.499805E-02 -1.062858E-02  3.476339E-02 -1.052749E-02  3.453012E-02 -1.042696E-02
  3.429823E-02 -1.032699E-02  3.406773E-02 -1.022756E-02  3.383860E-02 -1.012869E-02  3.361083E-02 -1.003036E-02  3.338443E-02 -9.932568E-03
  3.315939E-02 -9.835320E-03  3.293569E-02 -9.738609E-03  3.271333E-02 -9.642433E-03  3.249231E-02 -9.546790E-03  3.227262E-02 -9.451676E-03
  3.205425E-02 -9.357090E-03  3.183720E-02 -9.263029E-03  3.162147E-02 -9.169489E-03  3.140703E-02 -9.076470E-03  3.119389E-02 -8.983967E-03
  3.098205E-02 -8.891979E-03  3.077149E-02 -8.800503E-03  3.056221E-02 -8.709536E-03  3.035421E-02 -8.619077E-03  3.014747E-02 -8.529122E-03
  2.994199E-02 -8.439669E-03  2.973777E-02 -8.350715E-03  2.953480E-02 -8.262259E-03  2.933307E-02 -8.174298E-03  2.913258E-02 -8.086828E-03
  2.893332E-02 -7.999848E-03  2.873529E-02 -7.913356E-03  2.853847E-02 -7.827348E-03  2.834287E-02 -7.741823E-03  2.814847E-02 -7.656778E-03
  2.795528E-02 -7.572211E-03  2.776328E-02 -7.488119E-03  2.757247E-02 -7.404499E-03  2.738285E-02 -7.321350E-03  2.719440E-02 -7.238670E-03
  2.700712E-02 -7.156455E-03  2.682102E-02 -7.074703E-03  2.663607E-02 -6.993412E-03  2.645227E-02 -6.912580E-03  2.626963E-02 -6.832205E-03
  2.608813E-02 -6.752283E-03  2.590777E-02 -6.672813E-03  2.572853E-02 -6.593793E-03  2.555043E-02 -6.515219E-03  2.537344E-02 -6.437091E-03
  2.519757E-02 -6.359405E-03  2.502281E-02 -6.282159E-03  2.484916E-02 -6.205351E-03  2.467660E-02 -6.128980E-03  2.450513E-02 -6.053041E-03
  2.433475E-02 -5.977534E-03  2.416546E-02 -5.902456E-03  2.399724E-02 -5.827805E-03  2.383009E-02 -5.753578E-03  2.366400E-02 -5.679774E-03
  2.349898E-02 -5.606390E-03  2.333501E-02 -5.533424E-03  2.317209E-02 -5.460874E-03  2.301021E-02 -5.388737E-03  2.284937E-02 -5.317012E-03
  2.268956E-02 -5.245697E-03  2.253078E-02 -5.174789E-03  2.237302E-02 -5.104285E-03  2.221628E-02 -5.034185E-03  2.206056E-02 -4.964485E-03
  2.190584E-02 -4.895185E-03  2.175212E-02 -4.826280E-03  2.159939E-02 -4.757771E-03  2.144766E-02 -4.689654E-03  2.129691E-02 -4.621927E-03
  2.114715E-02 -4.554588E-03  2.099835E-02 -4.487636E-03  2.085053E-02 -4.421068E-03  2.070368E-02 -4.354882E-03  2.055778E-02 -4.289076E-03
  2.041284E-02 -4.223648E-03  2.026885E-02 -4.158596E-03  2.012581E-02 -4.093918E-03  1.998371E-02 -4.029612E-03  1.984254E-02 -3.965677E-03
  1.970230E-02 -3.902109E-03  1.956299E-02 -3.838907E-03  1.942460E-02 -3.776070E-03  1.928712E-02 -3.713595E-03  1.915055E-02 -3.651480E-03
  1.901489E-02 -3.589723E-03  1.888013E-02 -3.528322E-03  1.874627E-02 -3.467276E-03  1.861330E-02 -3.406583E-03  1.848121E-02 -3.346239E-03
  1.835001E-02 -3.286245E-03  1.821969E-02 -3.226597E-03  1.809023E-02 -3.167295E-03  1.796165E-02 -3.108335E-03  1.783392E-02 -3.049716E-03
  1.770706E-02 -2.991437E-03  1.758105E-02 -2.933495E-03  1.745589E-02 -2.875889E-03  1.733157E-02 -2.818617E-03  1.720809E-02 -2.761676E-03
  1.708545E-02 -2.705066E-03  1.696364E-02 -2.648783E-03  1.684266E-02 -2.592828E-03  1.672250E-02 -2.537197E-03  1.660315E-02 -2.481889E-03
  1.648462E-02 -2.426902E-03  1.636689E-02 -2.372234E-03  1.624997E-02 -2.317884E-03  1.613385E-02 -2.263850E-03  1.601853E-02 -2.210130E-03
  1.590399E-02 -2.156722E-03  1.579024E-02 -2.103625E-03  1.567727E-02 -2.050837E-03  1.556508E-02 -1.998357E-03  1.545367E-02 -1.946181E-03
  1.534302E-02 -1.894310E-03  1.523314E-02 -1.842740E-03  1.512402E-02 -1.791471E-03  1.501565E-02 -1.740501E-03  1.490804E-02 -1.689828E-03
  1.480117E-02 -1.639450E-03  1.469505E-02 -1.589366E-03  1.458967E-02 -1.539574E-03  1.448502E-02 -1.490073E-03  1.438110E-02 -1.440860E-03
  1.427791E-02 -1.391935E-03  1.417544E-02 -1.343296E-03  1.407370E-02 -1.294940E-03  1.397266E-02 -1.246867E-03  1.387234E-02 -1.199075E-03
  1.377273E-02 -1.151562E-03  1.367381E-02 -1.104327E-03  1.357560E-02 -1.057368E-03  1.347808E-02 -1.010684E-03  1.338125E-02 -9.642724E-04
  1.328511E-02 -9.181326E-04  1.318965E-02 -8.722627E-04  1.309487E-02 -8.266614E-04  1.300076E-02 -7.813270E-04  1.290733E-02 -7.362580E-04
  1.281456E-02 -6.914529E-04  1.272246E-02 -6.469103E-04  1.263102E-02 -6.026286E-04  1.254023E-02 -5.586064E-04  1.245010E-02 -5.148422E-04
  1.236061E-02 -4.713345E-04  1.227177E-02 -4.280819E-04  1.218356E-02 -3.850829E-04  1.209600E-02 -3.423362E-04  1.200907E-02 -2.998401E-04
  1.192277E-02 -2.575934E-04  1.183709E-02 -2.155946E-04  1.175204E-02 -1.738423E-04  1.166760E-02 -1.323350E-04  1.158379E-02 -9.107149E-05
  1.150058E-02 -5.005024E-05  1.141798E-02 -9.269913E-06  1.133598E-02  3.127087E-05  1.125459E-02  7.157349E-05  1.117379E-02  1.116393E-04
  1.109359E-02  1.514696E-04  1.101397E-02  1.910659E-04  1.093495E-02  2.304293E-04  1.085650E-02  2.695614E-04  1.077864E-02  3.084633E-04
  1.070135E-02  3.471364E-04  1.062464E-02  3.855820E-04  1.054849E-02  4.238014E-04  1.047291E-02  4.617960E-04  1.039790E-02  4.995670E-04
  1.032344E-02  5.371156E-04  1.024954E-02  5.744432E-04  1.017619E-02  6.115511E-04  1.010339E-02  6.484404E-04  1.003114E-02  6.851125E-04
